title,course,category,provider,duration,rating,language,students_enrolled,price_discounted,price_original,views
Computer Network Foundations,https://www.real.discount/offer/computer-network-foundations-23209,IT & Software > Network & Security,Udemy,1.5hr,4.3,English,"12,613",0$,19.99$,"5,573"
ZERO to HERO: AI & ML Starter Course with Hands-On Projects,https://www.real.discount/offer/zero-to-hero-ai-ml-starter-course-with-hands-on-projects-27365,Development > Data Science,Udemy,3hr,0,English,"1,303",0$,19.99$,"7,836"
Strategic Leadership: Mastering Project & Time Management,https://www.real.discount/offer/strategic-leadership-mastering-project-time-management-35188,Personal Development > Leadership,Udemy,14.5hr,5,English,29,0$,34.99$,604
Senior Executive Business Management and Leadership Program,https://www.real.discount/offer/senior-executive-business-management-and-leadership-program-36519,Personal Development > Leadership,Udemy,3.5hr,0,English,0,0$,84.99$,729
The Complete Microsoft Excel 365 Masterclass,https://www.real.discount/offer/the-complete-microsoft-excel-365-masterclass-38587,Office Productivity > Microsoft,Udemy,6.5hr,0,English,0,0$,219.99$,3
Power BI Certification: PL-300 & DA-100 Exam 2023 New Course,https://www.real.discount/offer/power-bi-certification-pl-300-da-100-exam-2023-new-course-31046,IT & Software > IT Certifications,Udemy,1hr,4.5,English,137,0$,19.99$,622
Microsoft Project 2019 Course for beginners to advanced,https://www.real.discount/offer/microsoft-project-2019-course-for-beginners-to-advanced-3795,Business > Project Management,Udemy,3hr,3.8,English,"26,383",0$,94.99$,"3,502"
4D Planning - Learn advanced planning for project management,https://www.real.discount/offer/4d-planning-learn-advanced-planning-for-project-management-29380,Business > Project Management,Udemy,2hr,3.9,English,92,0$,34.99$,"1,012"
Primavera P6 Complete Course of Project Planning 2020,https://www.real.discount/offer/primavera-p6-complete-course-of-project-planning-2020-6224,Office Productivity > Oracle,Udemy,2.5hr,4.4,English,"11,468",0$,94.99$,"8,655"
Kanban AI Fundamentals: Learn How to become More Productive,https://www.real.discount/offer/kanban-ai-fundamentals-learn-how-to-become-more-productive-35616,Development > Software Engineering,Udemy,3hr,0,English,594,0$,54.99$,"1,758"
Firebase Database : CRUD Android App Development,https://www.real.discount/offer/firebase-database-crud-android-app-development-36687,Development > Mobile Development,Udemy,2hr,0,Hindi,0,0$,19.99$,662
JDBC : Java Database Connectivity,https://www.real.discount/offer/jdbc-java-database-connectivity-34671,IT & Software > IT Certifications,Udemy,1.5hr,0,Hindi,0,0$,19.99$,"4,009"
Complete Basics of WordPress Web Design and Web Development,https://www.real.discount/offer/complete-basics-of-wordpress-web-design-and-web-development-36251,Design > Web Design,Udemy,6hr,5,English,35,0$,84.99$,680
Professional Certificate in Marketing and Advertising,https://www.real.discount/offer/professional-certificate-in-marketing-and-advertising-38336,Business > Management,Udemy,3.5hr,0,English,0,0$,84.99$,67
Comprehensive Plumbing Design Course(Calculations+Revit2024),https://www.real.discount/offer/comprehensive-plumbing-design-course-calculations-revit2024-36678,Design > Other Design,Udemy,3hr,4.7,English,324,0$,84.99$,210
SmartPhone 3D Logo and Mockup Design,https://www.real.discount/offer/smartphone-3d-logo-and-mockup-design-36745,Design > Graphic Design & Illustration,Udemy,4hr,0,English,7,0$,49.99$,301
LPI Linux Essentials 010-160 Exam practice,https://www.real.discount/offer/lpi-linux-essentials-010-160-exam-practice-23434,IT & Software > IT Certifications,Udemy,1hr,0,English,6,0$,19.99$,"8,485"
The Basics of Linux Command Line,https://www.real.discount/offer/the-basics-of-linux-command-line-23184,IT & Software > Operating Systems & Servers,Udemy,1hr,5,English,"1,102",0$,19.99$,"6,473"
Терминал Linux. Основы работы в командной строке.,https://www.real.discount/offer/terminal-linux-osnovy-raboty-v-komandnoi-stroke-38314,IT & Software > Operating Systems & Servers,Udemy,5hr,0,Russian,0,0$,19.99$,119
SQL практикум на базе MySQL,https://www.real.discount/offer/sql-praktikum-na-baze-mysql-38321,Development > Database Design & Development,Udemy,4.5hr,0,Russian,0,0$,19.99$,115
Mastering TOEFL iBT: The Ultimate Preparation Course,https://www.real.discount/offer/mastering-toefl-ibt-the-ultimate-preparation-course-38593,Teaching & Academics > Test Prep,Udemy,5hr,0,English,3,0$,44.99$,3
Mastering the Art of Learning,https://www.real.discount/offer/mastering-the-art-of-learning-38594,Personal Development > Personal Productivity,Udemy,1hr,3.5,English,221,0$,39.99$,3
"Email Marketing Automation, Google Analytics & Split Testing",https://www.real.discount/offer/email-marketing-automation-google-analytics-split-testing-35178,Marketing > Marketing Analytics & Automation,Udemy,10hr,5,English,46,0$,34.99$,800
